CurrentMapRegion,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
Awdal,307,698,477,696,297,897,503,2080,372,660,893,634,8514
Bakool,2077,1191,2730,1084,1128,1180,34556,1244,7364,35943,24718,20432,133647
Banadir,60141,58016,27993,14744,15387,68303,17033,29148,14928,59277,42763,14730,422463
Bari,1522,2261,2194,1898,1983,3944,7804,12066,2371,17275,2531,1450,57299
Bay,12989,6271,5105,745,871,2124,33440,29949,18748,16008,27347,26309,179906
Galgaduud,117896,15041,2682,3708,61472,1800,627,742,33424,1728,9847,1903,250870
Gedo,32150,10976,10159,2925,8253,5520,17206,13789,11060,4427,2990,2509,121964
Hiraan,669,198,0,165,431,790,160,182227,57288,11850,600,0,254378
Lower Juba,1965,3629,7894,1799,2766,3255,2324,15888,16813,12199,2900,2084,73516
Lower Shabelle,1303,1266,808,634,1190,6971,2629,375,543,8774,1936,1174,27603
Middle Juba,733,2020,1919,949,584,698,659,1082,2288,2735,4707,6773,25147
Middle Shabelle,2853,1394,1414,1161,736,965,2884,641,1219,11898,3520,1675,30360
Mudug,79826,2454,7408,11265,1200,4686,2000,1923,1259,2866,3063,673,118623
Nugaal,182,753,860,505,699,536,446,452,2267,1148,2503,1732,12083
Sanaag,1101,934,951,1200,1802,1261,1644,810,619,2370,1130,493,14315
Sool,1919,4088,679,310,564,6346,731,3639,1659,688,309,1133,22065
Togdheer,347,25515,10972,2364,8559,6168,198,2811,1049,2382,667,835,61867
Woqooyi Galbeed,80,111,143,87,77,211,144,178,215,227,233,144,1850
